player1boxes,player2boxes,ballpositions,ballvelocities
"(704.0, 657.0, 818.0, 838.0)","(1151.8504946364235, 174.81405309973582, 1192.3106528531137, 266.16413040667913)","(1017.0, 327.0)",1207.4767078498865
"(705.0, 659.0, 820.0, 840.0)","(1151.8504946364235, 174.81405309973582, 1192.3106528531137, 266.16413040667913)","(1011.0, 336.0)",648.9992295835181
"(706.0, 659.0, 818.0, 842.0)","(1151.8504946364235, 174.81405309973582, 1192.3106528531137, 266.16413040667913)","(1002.0, 348.0)",900.0
"(706.0, 657.0, 817.0, 846.0)","(1151.8504946364235, 174.81405309973582, 1192.3106528531137, 266.16413040667913)","(990.0, 360.0)",1018.2337649086285
"(706.0, 662.0, 821.0, 846.0)","(1151.8504946364235, 174.81405309973582, 1192.3106528531137, 266.16413040667913)","(978.0, 363.0)",742.1590126111789
"(702.0, 661.0, 820.0, 845.0)","(1151.8504946364235, 174.81405309973582, 1192.3106528531137, 266.16413040667913)","(972.0, 375.0)",804.9844718999243
"(699.0, 657.0, 817.0, 846.0)","(1156.4253487586282, 188.65226243497406, 1194.0801295872327, 268.4777458933121)","(957.0, 390.0)",1272.7922061357856
"(696.0, 655.0, 818.0, 847.0)","(1157.0532739035748, 190.8498044338912, 1196.7209351963056, 269.9352509332065)","(945.0, 399.0)",900.0
"(694.0, 657.0, 818.0, 849.0)","(1156.541726317471, 191.76746118356192, 1199.2901419114871, 272.44232659943907)","(933.0, 411.0)",1018.2337649086285
"(689.0, 651.0, 812.0, 843.0)","(1156.1915995378997, 192.51380281121055, 1201.168313651717, 274.13109544226756)","(921.0, 426.0)",1152.5623627379127
"(685.0, 651.0, 812.0, 842.0)","(1155.4073665131816, 193.1867928963434, 1201.9756436330738, 275.20902227411614)","(906.0, 447.0)",1548.4185480676729
"(682.0, 652.0, 800.0, 838.0)","(1154.2592308984542, 193.87716244106153, 1202.1689701859048, 276.8058903631732)","(891.0, 456.0)",1049.5713410721542
"(678.0, 649.0, 801.0, 841.0)","(1153.5126861204703, 193.9541177737108, 1201.959168959731, 277.08532535414656)","(876.0, 471.0)",1272.7922061357856
"(674.0, 645.0, 796.0, 841.0)","(1152.9206733696044, 194.62760134092207, 1201.3761934079532, 278.48496576951425)","(867.0, 483.0)",900.0
"(674.0, 645.0, 796.0, 841.0)","(1152.5429740524662, 193.9419526811626, 1201.3941047383403, 277.89958830868983)","(873.0, 480.0)",402.49223594996215
"(672.0, 643.0, 789.0, 841.0)","(1151.8754099791486, 194.17844284945465, 1201.0820422380307, 277.69628735038606)","(858.0, 501.0)",1548.4185480676729
